--
-- PostgreSQL database dump
--

SET statement_timeout = 0;
SET client_encoding = 'SQL_ASCII';
SET standard_conforming_strings = on;
SET check_function_bodies = false;
SET client_min_messages = warning;

SET search_path = i2b2metadata, pg_catalog;

--
-- Data for Name: i2b2_secure; Type: TABLE DATA; Schema: i2b2metadata; Owner: i2b2metadata
--

COPY i2b2_secure (c_hlevel, c_fullname, c_name, c_synonym_cd, c_visualattributes, c_totalnum, c_basecode, c_metadataxml, c_facttablecolumn, c_tablename, c_columnname, c_columndatatype, c_operator, c_dimcode, c_comment, c_tooltip, m_applied_path, update_date, download_date, import_date, sourcesystem_cd, valuetype_cd, m_exclusion_cd, c_path, c_symbol, i2b2_id, secure_obj_token) FROM stdin;
2	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\	Biomarker Data	N	FA 	\N	923	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\	trial:GSE4382	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\	\N	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	GSE4382	\N	\N	\N	\N	\N	EXP:PUBLIC
3	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\	Gene Expression	N	FA 	\N	924	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\	trial:GSE4382	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\	\N	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	GSE4382	\N	\N	\N	\N	\N	EXP:PUBLIC
5	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\Stanford cDNA microarrays\\Breast\\	Breast	N	LAH	\N	922	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\Stanford cDNA microarrays\\Breast\\	trial:GSE4382	\\Public Studies\\Breast_Cancer_Sorlie_GSE4382\\Biomarker Data\\Gene Expression\\Stanford cDNA microarrays\\Breast\\	\N	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	2012-07-18 08:02:16.354231	GSE4382	\N	\N	\N	\N	\N	EXP:PUBLIC
0	\\Public Studies\\	Public Studies	N	CA 	\N	365	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\	\N	\\Public Studies\\	\N	2012-07-03 10:19:17.625681	2012-07-03 10:19:17.625681	2012-07-03 10:19:17.625681	\N	\N	\N	\N	\N	\N	EXP:PUBLIC
4	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\Baseline\\	Baseline	N	LA 	\N	752	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\Baseline\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\Baseline\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
5	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Gender\\Female\\	Female	N	LA 	\N	753	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Gender\\Female\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Gender\\Female\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
4	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\240 Minutes after start of Insulin infusion\\	240 Minutes after start of Insulin infusion	N	LA 	\N	754	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\240 Minutes after start of Insulin infusion\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\240 Minutes after start of Insulin infusion\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
4	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\030 Minutes after start of Insulin infusion\\	030 Minutes after start of Insulin infusion	N	LA 	\N	755	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\030 Minutes after start of Insulin infusion\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Samples and Timepoints\\Vastus Lateralis Muscle\\030 Minutes after start of Insulin infusion\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
5	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Medical History\\Family History Diabetes Status\\Negative\\	Negative	N	LA 	\N	756	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Medical History\\Family History Diabetes Status\\Negative\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Medical History\\Family History Diabetes Status\\Negative\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
5	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Race\\Mexican American\\	Mexican American	N	LA 	\N	757	\N	CONCEPT_CD	CONCEPT_DIMENSION	CONCEPT_PATH	T	LIKE	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Race\\Mexican American\\	trial:GSE9105	\\Public Studies\\Acute_Physiologic_Hyperinsulinemia_Coletta_GSE9105\\Subjects\\Demographics\\Race\\Mexican American\\	\N	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	2012-07-06 06:05:55.315352	GSE9105	\N	\N	\N	\N	\N	EXP:PUBLIC
